Real,Imag
-4.921351795060308759e-02,-9.987882806936317914e-01
-4.601989151857509286e-02,-9.989405235471336963e-01
-4.443940957852609425e-02,-9.990120814466274535e-01
-4.151667204494762647e-02,-9.991378112864616190e-01
-3.777597406403051389e-02,-9.992862331602084813e-01
-3.457436715443185787e-02,-9.994021278423785848e-01
-3.148901493783344552e-02,-9.995040980097305017e-01
-3.005014845718949681e-02,-9.995483923140963123e-01
-2.510155511115541582e-02,-9.996849063234871657e-01
-2.417076464808299435e-02,-9.997078443907091438e-01
-1.742269951920055390e-02,-9.998482132511316012e-01
-1.685458663797052142e-02,-9.998579513657372964e-01
-1.421877394458511724e-02,-9.998989081239778587e-01
-7.681701137643962181e-03,-9.999704952985510875e-01
-7.060951270516259773e-03,-9.999750711728541130e-01
-1.677084647173821604e-03,-9.999985936925581687e-01
2.306106668587208641e-03,-9.999973409324717233e-01
9.461096928684232382e-03,-9.999552428208516863e-01
1.120713209480157617e-02,-9.999371981230702477e-01
1.563867290786104258e-02,-9.998777084772311197e-01
1.757280716013775654e-02,-9.998455863024582335e-01
2.705261125433689254e-02,-9.996340111382335802e-01
3.085020726386073289e-02,-9.995240190769714150e-01
3.525466713557833670e-02,-9.993783610050617217e-01
3.904010060085581074e-02,-9.992376446797255340e-01
4.076669111323364542e-02,-9.991686929121061933e-01
4.333921083001544827e-02,-9.990604149923270061e-01
4.671622227148236606e-02,-9.989082012761162366e-01
5.107803023771719658e-02,-9.986946654644049959e-01
5.799705959016176332e-02,-9.983167538807029562e-01
5.999772674794745519e-02,-9.981985137161235588e-01
6.519712726056785257e-02,-9.978724039660433753e-01
6.639416167050925244e-02,-9.977934732679227814e-01
6.811153402997344175e-02,-9.976777129574906366e-01
6.832506124437778827e-02,-9.976631124813406526e-01
7.400616756897540616e-02,-9.972577837057824413e-01
8.412473873078540887e-02,-9.964552314747885386e-01
8.808429690726765626e-02,-9.961130240280711146e-01
9.258111459158997747e-02,-9.957051457238589309e-01
9.508135791207993071e-02,-9.954695049963047104e-01
9.613944057026746481e-02,-9.953678756956358953e-01
1.048433815779281492e-01,-9.944887457077187243e-01
1.074741986623102274e-01,-9.942078739488487971e-01
1.095271115817304519e-01,-9.939838086350134549e-01
1.120392840765574854e-01,-9.937037782073663283e-01
1.173563183527616960e-01,-9.930898723391975436e-01
1.193618590402579366e-01,-9.928508179008865842e-01
1.228453859501165563e-01,-9.924258214852852422e-01
1.314311874185740137e-01,-9.913252962442593574e-01
1.342377326047040076e-01,-9.909491566902620674e-01
1.364400016902697910e-01,-9.906483361611031491e-01
1.390006581199370872e-01,-9.902922886916976086e-01
1.461549441874199218e-01,-9.892617107164088930e-01
1.472154008314689733e-01,-9.891044564443284282e-01
1.505179402302951330e-01,-9.886072777745614770e-01
1.509004166522385781e-01,-9.885489690724460488e-01
1.550249194421352561e-01,-9.879105598949525779e-01
1.573344194381273153e-01,-9.875453814686537823e-01
1.584537764633084933e-01,-9.873663963922003628e-01
1.608178330139078960e-01,-9.869841055380366157e-01
1.645508402889077904e-01,-9.863686029878538930e-01
1.664903118405101079e-01,-9.860430903683893300e-01
1.686139590337306371e-01,-9.856821662275111473e-01
1.735333640279280165e-01,-9.848279908538093430e-01
1.798794548438876484e-01,-9.836886609720932872e-01
1.814165003537947241e-01,-9.834063521247873307e-01
1.819928176489468419e-01,-9.832998598210866970e-01
1.866049729357727172e-01,-9.824350279156562893e-01
1.920055194720188541e-01,-9.813938457583132324e-01
1.952950509018226699e-01,-9.807445350820331864e-01
1.982938092125503260e-01,-9.801426249419019632e-01
2.016082949742991348e-01,-9.794662298402975198e-01
2.029055008397742943e-01,-9.791983240023242052e-01
2.070025848523840695e-01,-9.783403957030694098e-01
2.101081135571437608e-01,-9.776781579934374911e-01
2.110920193083589136e-01,-9.774661934738941849e-01
2.202759484865818573e-01,-9.754375974496284352e-01
2.245612069678326328e-01,-9.744599860051529339e-01
2.255930410123630214e-01,-9.742216276837638578e-01
2.273236935086255517e-01,-9.738192534395661015e-01
2.315470538472150230e-01,-9.728237054341679624e-01
2.364005446754981477e-01,-9.716556913213239000e-01
2.390996047735614860e-01,-9.709950458149294583e-01
2.415884982716912655e-01,-9.703787907321701489e-01
2.428482482163485390e-01,-9.700642908273011678e-01
2.505731126015622867e-01,-9.680976785640816873e-01
2.566241903968855542e-01,-9.665112647575013760e-01
2.583240623215896647e-01,-9.660583206130423095e-01
2.586574498203085826e-01,-9.659691111275048314e-01
2.690064008180207411e-01,-9.631383889758149408e-01
2.696415960720662808e-01,-9.629607518833326329e-01
2.758766069509895891e-01,-9.611930595552617973e-01
2.773578428760113401e-01,-9.607666870760974698e-01
2.838453629049065841e-01,-9.588700693823842824e-01
2.861033261209527945e-01,-9.581987720627332950e-01
2.877760404739360678e-01,-9.576977344283345017e-01
2.935564421386712697e-01,-9.559417426176606281e-01
2.967518578938698193e-01,-9.549546244908899695e-01
2.976352263675839938e-01,-9.546796698501224254e-01
3.043295810006648727e-01,-9.525667987747479248e-01
3.113053842357469403e-01,-9.503099272057643487e-01
3.170766748239681743e-01,-9.483999063067174440e-01
3.175238872954954106e-01,-9.482502733966226005e-01
3.242506321082451182e-01,-9.459712086408307297e-01
3.248034584748802356e-01,-9.457815357484864460e-01
3.269621367040549953e-01,-9.450374390265756652e-01
3.295047007346245116e-01,-9.441539345857704602e-01
3.332312591894208698e-01,-9.428451240257058608e-01
3.341656863970610125e-01,-9.425143468588582651e-01
3.344936801488445077e-01,-9.423979933873455339e-01
3.407563251055860110e-01,-9.401516510119812819e-01
3.452006997201182981e-01,-9.385288897592609647e-01
3.466504466802582951e-01,-9.379943858128224621e-01
3.477279994685125164e-01,-9.375954556127169548e-01
3.517325229317666557e-01,-9.361005460483682317e-01
3.563296801786666745e-01,-9.343602940107108568e-01
3.612230542740543227e-01,-9.324794394842911283e-01
3.642032991593385782e-01,-9.313194709021469508e-01
3.644364401354594496e-01,-9.312282647672487368e-01
3.722688960715162532e-01,-9.281249210196369503e-01
3.732658746043036047e-01,-9.277244132046356118e-01
3.748193393757141001e-01,-9.270978712250154130e-01
3.793413798906349332e-01,-9.252567846293618947e-01
3.859289483938719290e-01,-9.225285073056558316e-01
3.878619561927429960e-01,-9.217174745757743537e-01
3.916349643544248527e-01,-9.201206739852773042e-01
3.989789690796183841e-01,-9.169600766839079986e-01
4.017655596164413367e-01,-9.157425594052548412e-01
4.023594113160106622e-01,-9.154817879812988668e-01
4.055926548554711908e-01,-9.140539362243751409e-01
4.079995544077759662e-01,-9.129821266613373787e-01
4.100526268598261304e-01,-9.120618636942079416e-01
4.137670527431233092e-01,-9.103827909534977225e-01
